station_id,StationName,AvailableDocks,TotalDocks,latitude,longitude,StatusValue,StatusKey,AvailableBikes
3243,E 58 St & 1 Ave (NE Corner),28,29,40.75892386,-73.96226227,In Service,1,1
3244,University Pl & E 8 St,5,42,40.73143724,-73.99490342,In Service,1,37
3249,Verona Pl & Fulton St,4,19,40.68035608,-73.9476791,In Service,1,15
3256,Pier 40 - Hudson River Park,5,23,40.72771408,-74.01129574,In Service,1,14
3258,W 27 St & 10 Ave,17,37,40.75018156,-74.00218427,In Service,1,16
3259,9 Ave & W 28 St,15,27,40.74937024,-73.99923384,In Service,1,12
3260,Mercer St & Bleecker St,8,45,40.72706363,-73.99662137,In Service,1,33
3263,Cooper Square & Astor Pl,19,59,40.72951496,-73.9907527,In Service,1,37
3267,Morris Canal,7,14,40.71241882,-74.03852552,In Service,1,7
3268,Lafayette Park,4,14,40.71346383,-74.06285852,In Service,1,9
3269,Brunswick & 6th,9,14,40.72601173,-74.05038893,In Service,1,4
3270,Jersey & 6th St,7,14,40.72528911,-74.04557168,In Service,1,7
3272,Jersey & 3rd,9,14,40.72333159,-74.04595256,In Service,1,4
3273,Manila & 1st,14,18,40.72165072,-74.04288411,In Service,1,4
3275,Columbus Drive,9,14,40.7183552,-74.03891444,In Service,1,4
3276,Marin Light Rail,16,26,40.71458404,-74.04281706,In Service,1,9
3277,Communipaw & Berry Lane,13,14,40.71435837,-74.06661093,In Service,1,1
3278,Monmouth and 6th,8,14,40.72568548,-74.04879034,In Service,1,6
3279,Dixon Mills,11,18,40.72163014,-74.04996783,In Service,1,6
3280,Astor Place,10,14,40.7192822,-74.07126188,In Service,1,3
3281,Leonard Gordon Park,10,14,40.74590997,-74.05727148,In Service,1,4
3282,5 Ave & E 88 St,34,38,40.78307,-73.95939,In Service,1,2
3283,W 89 St & Columbus Ave,41,47,40.7882213,-73.97041561,In Service,1,6
3284,E 88 St & Park Ave,35,38,40.7814107,-73.95595908,In Service,1,1
3285,W 87 St & Amsterdam Ave,28,43,40.78839,-73.9747,In Service,1,14
3286,E 89 St & 3 Ave,21,23,40.7806284,-73.9521667,In Service,1,1
3288,E 88 St & 1 Ave,19,39,40.778301,-73.9488134,In Service,1,18
3289,W 90 St & Amsterdam Ave,30,32,40.79017948,-73.97288918,In Service,1,1
3290,E 89 St & York Ave,16,35,40.7779453,-73.946041,In Service,1,19
3292,5 Ave & E 93 St,40,43,40.7857851,-73.957481,In Service,1,2
3293,W 92 St & Broadway,21,24,40.7921,-73.9739,In Service,1,3
3294,E 91 St & Park Ave,37,38,40.7835016,-73.955327,In Service,1,1
3295,Central Park W & W 96 St,23,59,40.79127,-73.964839,In Service,1,35
3296,E 93 St & 2 Ave,13,42,40.78245418,-73.94891962,In Service,1,29
3297,6 St & 7 Ave,14,21,40.6686627,-73.97988067,In Service,1,7
3298,Warren St & Court St,0,23,40.686371,-73.99383324,In Service,1,22
3299,E 98 St & Park Ave,19,25,40.78813,-73.95206,In Service,1,6
3300,Prospect Park West & 8 St,21,25,40.66514682,-73.97637606,In Service,1,3
3301,Columbus Ave & W 95 St,27,39,40.7919557,-73.968087,In Service,1,11
3302,Columbus Ave & W 103 St,21,22,40.7969347,-73.96434123,In Service,1,1
3303,Butler St & Court St,7,25,40.6849894,-73.99440329,In Service,1,18
3304,6 Ave & 9 St,21,27,40.668127,-73.98377641,In Service,1,6
3305,E 91 St & 2 Ave,10,39,40.7811223,-73.94965589,In Service,1,27
3306,10 St & 7 Ave,5,23,40.6662078,-73.98199886,In Service,1,14
3307,West End Ave & W 94 St,19,31,40.7941654,-73.974124,In Service,1,12
3308,Kane St & Clinton St,9,27,40.6861758,-73.99645295,In Service,1,18
3309,E 97 St & 3 Ave,18,30,40.7859201,-73.94860294,In Service,1,12
3310,14 St & 7 Ave,17,24,40.663779,-73.98396846,In Service,1,4
3311,Columbia St & Kane St,3,21,40.68763155,-74.0016256,In Service,1,18
3312,1 Ave & E 94 St,13,39,40.7817212,-73.94594,In Service,1,25
3313,6 Ave & 12 St,13,29,40.6663181,-73.9854617,In Service,1,14
3314,W 95 St & Broadway,12,32,40.7937704,-73.971888,In Service,1,18
3315,Henry St & Degraw St,14,23,40.6847514,-73.99917254,In Service,1,9
3317,10 St & 5 Ave,3,24,40.6686273,-73.98700053,In Service,1,21
3318,2 Ave & E 96 St,0,39,40.7839636,-73.9471673,In Service,1,39
3319,14 St & 5 Ave,1,21,40.666287,-73.98895053,In Service,1,19
3320,Central Park West & W 100 St,37,49,40.79406661,-73.96286845,In Service,1,12
3321,Clinton St & Union St,14,25,40.6831164,-73.99785267,In Service,1,10
3322,12 St & 4 Ave,0,25,40.668603,-73.9904394,In Service,1,24
3323,W 106 St & Central Park West,29,59,40.7981856,-73.9605909,In Service,1,30
3324,3 Ave & 14 St,0,25,40.6685455,-73.99333264,In Service,1,25
3326,Clinton St & Centre St,8,21,40.67434,-74.00194698,In Service,1,13
3327,3 Ave & E 100 St,15,27,40.7877214,-73.94728331,In Service,1,12
3328,W 100 St & Manhattan Ave,34,39,40.795,-73.9645,In Service,1,5
3329,Degraw St & Smith St,19,27,40.6829151,-73.99318208,In Service,1,8
3330,Henry St & Bay St,3,19,40.6725058,-74.00494695,In Service,1,16
3331,Riverside Dr & W 104 St,30,39,40.8013434,-73.97114574,In Service,1,9
3332,Degraw St & Hoyt St,3,19,40.68199044,-73.99079025,In Service,1,16
3333,Columbia St & Lorraine St,1,21,40.6747055,-74.0075572,In Service,1,20
3335,Union St & 4 Ave,0,28,40.6772744,-73.98282002,In Service,1,28
3336,E 97 St & Madison Ave,35,41,40.787801,-73.953559,In Service,1,6
3337,Dwight St & Van Dyke St,0,23,40.67363551,-74.01195556,In Service,1,22
3338,2 Ave & E 99 St,0,31,40.7862586,-73.94552579,In Service,1,30
3339,Berkeley Pl & 6 Ave,6,23,40.6765304,-73.97846879,In Service,1,17
3340,Wolcott St & Dwight St,2,21,40.6753274,-74.0100698,In Service,1,19
3341,Central Park West & W 102 St,31,41,40.795346,-73.96186,In Service,1,10
3342,Pioneer St & Richards St,0,23,40.6777748,-74.0094613,In Service,1,22
3343,W 107 St & Columbus Ave,18,23,40.7997568,-73.96211287,In Service,1,4
3344,Pioneer St & Van Brunt St,1,19,40.679043,-74.011169,In Service,1,15
3345,Madison Ave & E 99 St,23,35,40.78948542,-73.95242929,In Service,1,12
3346,Berkeley Pl & 7 Ave,2,29,40.67514684,-73.97523209,In Service,1,24
3347,Van Brunt St & Wolcott St,1,21,40.6773429,-74.01275056,In Service,1,17
3348,Coffey St & Conover St,0,19,40.677236,-74.015665,In Service,1,19
3349,Grand Army Plaza & Plaza St West,5,30,40.6729679,-73.97087984,In Service,1,23
3350,W 100 St & Broadway,31,39,40.7973721,-73.97041192,In Service,1,8
3351,E 102 St & 1 Ave,10,25,40.7869946,-73.94164802,In Service,1,15
3352,Sigourney St & Columbia St,2,21,40.67267243,-74.00879525,In Service,1,19
3354,3 St & Prospect Park West,29,31,40.668132,-73.97363831,In Service,1,0
3355,E 66 St & Madison Ave,21,25,40.76800889,-73.96845281,In Service,1,2
3356,Amsterdam Ave & W 66 St,17,21,40.7746671,-73.98470567,In Service,1,4
3357,W 106 St & Amsterdam Ave,24,35,40.8008363,-73.96644925,In Service,1,11
3358,Garfield Pl & 8 Ave,20,25,40.6711978,-73.97484126,In Service,1,5
3359,E 68 St & Madison Ave,32,35,40.7691572,-73.96703464,In Service,1,3
3360,Amsterdam Ave & W 79 St,10,25,40.7829391,-73.9786517,In Service,1,15
3361,Carroll St & 6 Ave,9,23,40.6740886,-73.9787282,In Service,1,10
3362,Madison Ave & E 82 St,34,34,40.7781314,-73.96069399,In Service,1,0
3363,E 102 St & Park Ave,10,33,40.7904828,-73.95033068,In Service,1,23
3364,Carroll St & 5 Ave,2,27,40.6751622,-73.9814832,In Service,1,25
3365,3 St & 7 Ave,1,27,40.6703837,-73.97839676,In Service,1,22
3366,West End Ave & W 107 St,27,31,40.8021174,-73.96818053,In Service,1,4
3367,5 Ave & E 103 St,15,39,40.7922553,-73.95249933,In Service,1,23
3368,5 Ave & 3 St,1,30,40.6728155,-73.98352355,In Service,1,24
3369,E 82 St & East End Ave,13,29,40.7724607,-73.9468208,In Service,1,16
3370,E 78 St & 2 Ave,13,25,40.7727966,-73.95577801,In Service,1,11
3371,4 Ave & 2 St,2,27,40.67461342,-73.98501143,In Service,1,24
3372,E 74 St & 1 Ave,7,39,40.7689738,-73.95482273,In Service,1,30
3373,3 St & 3 Ave,1,27,40.6750705,-73.98775226,In Service,1,24
3374,Central Park North & Adam Clayton Powell Blvd,11,36,40.799484,-73.955613,In Service,1,24
3375,3 Ave & E 72 St,35,35,40.7699426,-73.96060712,In Service,1,0
3376,E 65 St & 2 Ave,38,39,40.76471852,-73.9622207,In Service,1,0
3377,Carroll St & Bond St,3,25,40.6786115,-73.99037292,In Service,1,21
3378,E 76 St & Park Ave,26,28,40.773763,-73.96222088,In Service,1,2
3379,E 103 St & Lexington Ave,0,35,40.7903051,-73.94755757,In Service,1,34
3381,3 St & Hoyt St,4,21,40.6777287,-73.99364123,In Service,1,14
3382,Carroll St & Smith St,1,31,40.680611,-73.99475825,In Service,1,30
3383,Cathedral Pkwy & Broadway,12,25,40.804213,-73.96699104,In Service,1,11
3384,Smith St & 3 St,4,25,40.6787242,-73.99599099,In Service,1,21
3386,1 Pl & Clinton St,24,27,40.6809591,-73.99905709,In Service,1,2
3387,E 106 St & Madison Ave,3,25,40.7934337,-73.94945003,In Service,1,22
3388,President St & Henry St,3,25,40.6828003,-73.99990419,In Service,1,19
3389,Carroll St & Columbia St,5,28,40.6830456,-74.00348559,In Service,1,23
3390,E 109 St & 3 Ave,0,24,40.79329668,-73.9432083,In Service,1,24
3391,E 106 St & 1 Ave,3,25,40.7892529,-73.93956237,In Service,1,22
3392,Commerce St & Van Brunt St,0,19,40.6812117,-74.00860912,In Service,1,19
3393,Richards St & Delavan St,1,19,40.6794327,-74.00785041,In Service,1,17
3394,Columbia St & W 9 St,4,21,40.6769993,-74.00647134,In Service,1,16
3395,Henry St & W 9 St,1,19,40.6763744,-74.00324957,In Service,1,18
3396,Clinton St & 4 Place,7,25,40.6783563,-74.00014502,In Service,1,18
3397,Court St & Nelson St,2,25,40.6763947,-73.99869893,In Service,1,21
3398,Smith St & 9 St,1,23,40.6746957,-73.99785768,In Service,1,18
3399,7 St & 3 Ave,1,24,40.67260298,-73.98983002,In Service,1,20
3400,E 110 St & Madison Ave,7,24,40.7961535,-73.94782145,In Service,1,16
